更新时间,#genre#
央视台球,http://139.214.176.166:9901/tsfile/live/1035_1.m3u8?key=txiptv&playlive=1&authid=0
卫生健康,http://139.214.176.166:9901/tsfile/live/1036_1.m3u8?key=txiptv&playlive=1&authid=0
高尔夫,http://139.214.176.166:9901/tsfile/live/1037_1.m3u8?key=txiptv&playlive=1&authid=0
中国交通,http://139.214.176.166:9901/tsfile/live/1038_1.m3u8?key=txiptv&playlive=1&authid=0
CETV1,http://139.214.176.166:9901/tsfile/live/1039_1.m3u8?key=txiptv&playlive=1&authid=0
CETV2,http://139.214.176.166:9901/tsfile/live/1009_1.m3u8?key=txiptv&playlive=1&authid=0
CETV4,http://139.214.176.166:9901/tsfile/live/1052_1.m3u8?key=txiptv&playlive=1&authid=0
金鹰纪实高清,http://139.214.176.166:9901/tsfile/live/1041_1.m3u8?key=txiptv&playlive=1&authid=0
BTV高清,http://139.214.176.166:9901/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0
卡酷动画,http://139.214.176.166:9901/tsfile/live/1043_1.m3u8?key=txiptv&playlive=1&authid=0
睛彩竞技,http://139.214.176.166:9901/tsfile/live/1049_1.m3u8?key=txiptv&playlive=1&authid=0
睛彩篮球,http://139.214.176.166:9901/tsfile/live/1050_1.m3u8?key=txiptv&playlive=1&authid=0
睛彩羽毛球,http://139.214.176.166:9901/tsfile/live/1065_1.m3u8?key=txiptv&playlive=1&authid=0
睛彩广场舞,http://139.214.176.166:9901/tsfile/live/1059_1.m3u8?key=txiptv&playlive=1&authid=0
武术世界,http://139.214.176.166:9901/tsfile/live/1022_1.m3u8?key=txiptv&playlive=1&authid=0
梨园高清,http://139.214.176.166:9901/tsfile/live/1051_1.m3u8?key=txiptv&playlive=1&authid=0
文物宝库,http://139.214.176.166:9901/tsfile/live/1055_1.m3u8?key=txiptv&playlive=1&authid=0
CGTN英语高清,http://139.214.176.166:9901/tsfile/live/1058_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1,http://118.116.13.23:9901/tsfile/live/faacts/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2,http://118.116.13.23:9901/tsfile/live/faacts/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3,http://118.116.13.23:9901/tsfile/live/faacts/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4,http://118.116.13.23:9901/tsfile/live/faacts/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5,http://118.116.13.23:9901/tsfile/live/faacts/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5+,http://118.116.13.23:9901/tsfile/live/faacts/0016_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV6,http://118.116.13.23:9901/tsfile/live/faacts/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV7,http://118.116.13.23:9901/tsfile/live/faacts/0007_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV8,http://118.116.13.23:9901/tsfile/live/faacts/0008_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV9,http://118.116.13.23:9901/tsfile/live/faacts/0009_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV10,http://118.116.13.23:9901/tsfile/live/faacts/0010_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV11,http://118.116.13.23:9901/tsfile/live/faacts/0011_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV12,http://118.116.13.23:9901/tsfile/live/faacts/0012_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV13,http://118.116.13.23:9901/tsfile/live/faacts/0013_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV14,http://118.116.13.23:9901/tsfile/live/faacts/0014_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV15,http://118.116.13.23:9901/tsfile/live/faacts/0015_1.m3u8?key=txiptv&playlive=1&authid=0
安徽卫视,http://118.116.13.23:9901/tsfile/live/faacts/0130_2.m3u8?key=txiptv&playlive=0&authid=0
浙江卫视,http://118.116.13.23:9901/tsfile/live/faacts/0124_2.m3u8?key=txiptv&playlive=0&authid=0
河南卫视,http://118.116.13.23:9901/tsfile/live/faacts/0139_2.m3u8?key=txiptv&playlive=0&authid=0
天津卫视,http://118.116.13.23:9901/tsfile/live/faacts/0135_2.m3u8?key=txiptv&playlive=0&authid=0
